CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;0,062500;5,579220;94,358280;3185;1;17;16;0
0;0,000000;0,000000;100,000000;3186;5;51;16;0
0;0,000000;0,000000;100,000000;3187;5;51;16;0
0;0,000000;100,000000;0,000000;3188;2;29;10;0
0;0,000000;100,000000;0,000000;3189;2;29;10;0
0;0,000000;0,000000;100,000000;3190;5;51;16;0
0;0,000000;3,196630;96,803370;3191;2;29;16;0
0;0,000000;0,000000;100,000000;3192;1;11;16;0
0;0,000000;0,000000;100,000000;3193;5;51;16;0
0;0,000000;5,296720;94,703280;3194;2;29;16;0
0;0,000000;0,206470;99,793530;3195;5;51;16;0
0;0,000000;27,346250;72,653750;3196;2;29;14;0
0;0,000000;0,000000;100,000000;3197;2;29;16;0
0;0,000000;0,000000;100,000000;3198;1;11;16;0
0;100,000000;0,000000;0,000000;3199;2;29;1;0
0;0,000000;100,000000;0,000000;3200;2;29;10;0
0;51,328510;48,671490;0,000000;3201;2;29;2;0
0;44,909340;55,090660;0,000000;3202;2;29;5;0
0;100,000000;0,000000;0,000000;3203;2;29;1;0
0;100,000000;0,000000;0,000000;3204;2;29;1;0
0;67,782600;32,217400;0,000000;3205;2;29;2;0
0;99,985100;0,014900;0,000000;3206;2;29;1;0
0;61,859430;38,140570;0,000000;3207;2;29;2;0
0;100,000000;0,000000;0,000000;3208;2;29;1;0
0;15,670720;84,329280;0,000000;3209;2;29;10;0
